variable_name,question_label,survey_wave,n_valid,pct_missing,weighted_variance,modal_share_pct,partyID_r2,ideology_r2,final_action,drop_reason
CC24_330a,Ideology self-placement (VL=1 to VC=7),pre,56924,5.1,3.5027,26.1,0.5682,0.8187,DROP,Partisan proxy: ideology self-placement (PID R²=0.568); dominates Factor 1
pew_churatd,Church attendance frequency,pre,59008,1.7,2.9575,34.1,0.0598,0.1086,KEEP,
pew_religimp,Importance of religion in life,pre,59989,0.0,1.411,37.5,0.1105,0.1874,DROP,Redundant with retained pew_churatd (polychoric r=0.80); higher PID R²
pew_prayer,Prayer frequency,pre,58480,2.5,5.7847,28.3,0.0859,0.1569,DROP,"Redundant with retained pew_churatd (polychoric r=0.72); also reduces N by ~1,520"
pew_bornagain,Born-again/evangelical identity (binary),pre,59970,0.0,0.221,67.0,0.0775,0.1207,DROP,"Redundant within the religion battery (polychoric r=0.61 with retained pew_churatd, 0.77 with the also-dropped pew_religimp); binary, 67% modal share"
CC24_301,National economy: better or worse past year,pre,58452,2.6,1.7609,34.9,0.3375,0.2613,DROP,Partisan proxy: economy retrospective (PID R²=0.338); Biden approval proxy in 2024
CC24_302,Household income: change past year,pre,59913,0.1,0.9007,49.7,0.0602,0.047,KEEP,
CC24_303,Perceived price change past year (rev: high=inflation),pre,59874,0.2,0.6787,55.3,0.1094,0.0932,KEEP,
CC24_309d_8,Financial fragility: can't cover $400 emergency [binary],pre,60000,0.0,0.1443,82.5,0.0002,0.0001,DROP,Dropped by user: binary from multi-select; low variance (82.5% = 0); CC24_309e preferred
CC24_341a,Support extend 2017 tax cuts,pre,59546,0.8,0.2337,62.8,0.1445,0.1537,KEEP,
CC24_341b,Oppose raise corporate tax to 28% [rev],pre,59816,0.3,0.2455,56.7,0.2199,0.2188,DROP,Redundant with retained CC24_341c (polychoric r=0.80); note r with 341a is only 0.54
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],pre,59788,0.4,0.2288,64.6,0.1702,0.1775,KEEP,
CC24_341d,Oppose $150B infrastructure spending [rev],pre,59737,0.4,0.1619,79.7,0.0588,0.0581,KEEP,
CC24_323a,Oppose grant legal status to working immigrants [rev],pre,59998,0.0,0.242,59.0,0.2136,0.2066,KEEP,
CC24_323b,Support increase border patrols,pre,59999,0.0,0.1642,79.3,0.0862,0.1379,KEEP,
CC24_323d,Oppose Dreamers pathway to citizenship [rev],pre,59991,0.0,0.2074,70.6,0.1854,0.1833,KEEP,
CC24_321b,Support easier concealed carry permits,pre,59998,0.0,0.2389,60.5,0.1836,0.1781,KEEP,
CC24_321c,Oppose background checks on all gun sales [rev; ceiling],pre,59997,0.0,0.0722,92.2,0.023,0.0308,DROP,Ceiling effect: 93% Support background checks; near-zero variance
CC24_321d,Support increase police by 10%,pre,59998,0.0,0.245,57.1,0.1371,0.1827,KEEP,
