variable,domain,question,overall_pct,house_expected_yes,house_sigma,house_prob_pass,house_verdict,senate_cond_expected_yes,senate_cond_sigma,senate_cond_prob_pass,senate_cond_verdict,senate_irv_expected_yes,senate_irv_sigma,senate_irv_prob_pass,senate_irv_verdict,senate_cond_pure_expected_yes,senate_cond_pure_sigma,senate_cond_pure_prob_pass,senate_cond_pure_verdict,senate_irv_pure_expected_yes,senate_irv_pure_sigma,senate_irv_pure_prob_pass,senate_irv_pure_verdict,pres_mixed_support_pct,pres_mixed_signs,pres_pure_support_pct,pres_pure_signs,law_cond_mixed,law_irv_mixed,law_cond_pure,law_irv_pure
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,62.9096,552.21,13.09,1.0,PASS,33.26,3.32,0.9903,PASS,32.93,3.27,0.9884,PASS,35.13,3.12,0.999,PASS,32.0,3.08,0.9825,PASS,68.98,SIGN,60.53,SIGN,True,True,True,True
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,57.6828,501.7,13.07,1.0,PASS,28.97,3.42,0.8448,PASS,29.8,3.33,0.902,PASS,29.83,3.32,0.904,PASS,32.17,3.06,0.9854,PASS,57.34,SIGN,53.44,SIGN,True,True,True,True
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,65.3484,567.91,12.5,1.0,PASS,32.98,3.31,0.9881,PASS,34.01,3.2,0.9961,PASS,34.45,3.19,0.9975,PASS,37.04,2.89,1.0,PASS,67.61,SIGN,58.74,SIGN,True,True,True,True
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,80.4546,692.7,11.4,1.0,PASS,40.31,2.86,1.0,PASS,41.28,2.76,1.0,PASS,42.14,2.67,1.0,PASS,43.86,2.42,1.0,PASS,83.89,SIGN,70.88,SIGN,True,True,True,True
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,59.2294,515.82,11.32,1.0,PASS,30.54,3.26,0.9391,PASS,30.64,3.12,0.9501,PASS,31.11,3.18,0.9613,PASS,31.67,2.82,0.9857,PASS,53.61,SIGN,75.1,SIGN,True,True,True,True
CC24_323b,Immigration,Increase border patrols,79.5714,698.57,10.66,1.0,PASS,40.81,2.76,1.0,PASS,41.56,2.67,1.0,PASS,44.4,2.25,1.0,PASS,43.33,2.34,1.0,PASS,87.35,SIGN,64.81,SIGN,True,True,True,True
CC24_323d,Immigration,Permanent status/pathway for Dreamers,70.4041,631.28,10.37,1.0,PASS,38.7,2.82,1.0,PASS,38.79,2.7,1.0,PASS,39.03,2.77,1.0,PASS,39.75,2.51,1.0,PASS,73.22,SIGN,86.68,SIGN,True,True,True,True
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,54.1862,489.52,12.66,1.0,PASS,29.12,3.34,0.8606,PASS,28.84,3.24,0.8488,PASS,27.2,3.24,0.6996,PASS,28.38,2.99,0.8318,PASS,49.73,VETO,70.53,SIGN,False,False,True,True
CC24_340f,Immigration,Deny asylum for illegal border crossings,63.1681,536.64,11.32,1.0,PASS,31.45,3.18,0.9692,PASS,31.97,3.04,0.9832,PASS,36.22,2.72,1.0,PASS,33.31,2.52,0.999,PASS,72.92,SIGN,39.63,VETO,True,True,False,False
CC24_321a,Police & Guns,Ban assault rifles,59.5554,520.57,12.76,1.0,PASS,30.54,3.37,0.9326,PASS,31.07,3.28,0.9553,PASS,31.5,3.29,0.9657,PASS,32.94,3.05,0.9926,PASS,58.64,SIGN,63.14,SIGN,True,True,True,True
CC24_321b,Police & Guns,Easier concealed-carry permits,38.9291,340.1,12.88,0.0,FAIL,19.89,3.38,0.0485,FAIL,19.29,3.3,0.0299,FAIL,19.71,3.33,0.041,FAIL,17.33,3.08,0.004,FAIL,39.44,VETO,36.58,VETO,False,False,False,False
